mu sigma
1.148399057091346 6.079737776968753
4.164996634055825 5.851777068011252
0.8754411933088407 4.932477189811437
1.1160222396400177 5.409700069969533
3.965363152188384 5.735217005222271
2.55271359314789 5.975391251644235
3.801079625180917 5.678246626247811
1.9415318172843694 5.777284481498462
3.8413071361807978 5.584849133211525
1.397466697290829 4.407986393243169
2.82377121880661 5.902370942055164
4.183608824451418 4.786947061038766
1.372586566231802 5.24744211980575
4.125132793385799 4.637502088882627
3.5168634115233237 5.689563992770019
2.5268671758283308 5.829073975752657
1.5299427320056358 4.346388258008487
4.06199407245583 4.591870928062596
3.8043921581161237 4.235852436569845
4.094326310248518 4.719014150313275
4.065934717965765 5.098427353375642
1.4872433515045729 5.297214591500686
4.093446015131391 4.762194304742434
1.4810729937055673 5.281609537722463
1.8100996872244761 4.120172773740432
1.606227326650405 5.4127352319431985
3.826240032455375 4.285308035812565
3.4615014417649173 5.616558280429853
1.4389880248935722 4.601289939158725
4.030002557982836 5.016773989581909
1.8197397333503218 5.509070962497544
3.6733371280016485 5.475283461679977
1.4362288902566682 5.036337352901201
2.5562965772954698 3.8978515921062096
1.520396924360321 4.4875124318993285
2.8071311204939913 5.72885819342437
3.0090283687901453 3.922428451471345
3.091272135572678 5.675144841900749
1.4600934678040256 4.853120207217034
2.4769196690222692 3.9298568429095946
2.120684703907414 5.593893523256549
3.9265183901693246 4.619135060255777
2.5849007008927147 5.672223617291654
1.637152115403443 4.405014647025033
3.174685951054638 5.615171153072845
2.749786202650446 3.926171334157428
1.8426414876630937 5.418468823230364
2.63865700354156 5.659537705322188
3.6726252051085106 5.349168704830191
2.7763459994542012 5.656344546417037
3.823130670650104 5.175631979617394
2.9494840414538115 5.640196380541159
2.3976014371148358 5.621568344900027
3.548106276332979 4.181933504609091
1.7448603660108812 5.312083319660806
3.2980577777111426 5.54897491606018
3.8982891661649326 4.692071806952308
3.318024498067233 4.073771882298143
3.5192181263446205 5.404506265758818
2.979023608830547 5.597116857220447
2.282626038719091 5.554502407745778
3.6934695342716855 4.351399573917157
1.6013833406164224 4.999441695885078
2.418368088858334 5.570593650054652
2.0734834348854747 5.455857146721134
1.9349187263241285 5.376775156442662
1.6781078139995471 5.1165466237901445
2.5779973771268945 5.575890271423569
1.6490492344375907 5.052189524358289
2.8477276421730506 5.574256825598893
2.9436863740224934 3.994724513268464
1.6215252553846788 4.968999941208266
3.552818260156786 4.25374205295763
1.617726273280495 4.659338925089181
1.6630055031450346 5.047650008005168
1.715533201537357 5.128484524107563
3.654415006910898 4.363295230574331
1.660369921152169 5.022420650315032
3.8073127555563726 4.949943365616317
1.7549061620367568 5.171391417738907
3.57599883564987 5.283954074622214
3.6287044292606034 4.339911478838985
3.574594159686973 5.283270794064955
2.697550758312471 3.990904843984582
3.096657178900185 4.040232049676805
2.39665855434948 4.028799634369827
3.820793840178786 4.827009003114671
3.6676771772530232 5.184745978164837
2.2306999310166247 5.470005973196148
3.3423068646648844 5.4169542966121
2.8204208625298226 5.542311572958134
3.813117591657995 4.763785729676919
3.8090067397295324 4.859589555443086
1.6514494240247397 4.941727477199867
2.396139508213611 4.0341316407370575
1.6726921150012992 4.578479293417933
2.4933684220129915 4.016156804232798
2.32523533540275 4.054112941540458
3.2239102525441687 4.090905249758622
2.1055281963449413 4.143913792635344
3.2375637654279226 4.100710242124949
2.889085751189854 5.5224508495700855
3.7969309109943112 4.762570486773525
3.397715681376269 5.3654873915183465
3.0355344351089286 5.495872802935481
3.651678085176246 4.404796640166549
3.7138801316932266 5.06785378964849
3.791966461110925 4.7854234801211835
3.140543195365135 4.073208628162368
3.495013916961865 4.2562666960718545
2.8705068788915633 4.018253253244613
2.2248136547831554 5.433916462466419
2.175711786105778 4.1255625599605406
3.075325608846284 4.05870982132384
2.4247669894368444 5.487124594110048
2.2009487252048516 5.423072217820733
3.7807565571401813 4.785365388543018
1.6925178756426313 4.607115324811599
1.8912950051927875 5.237738332644495
1.673021277318406 4.860962405193765
2.954081489318798 5.493405969076744
2.8041235698409728 5.508368168158386
3.3394100333334222 4.1659838352507546
3.637136428274758 5.146000082111072
2.6425842447599686 5.507620023882737
1.691228823276611 4.927128391418058
2.8101049151433584 5.501975548081253
2.4580283685390465 4.045526335112636
2.0303252019218854 5.321469883415392
3.4584891794764205 4.249697355293529
3.489141191464236 5.26727245084821
3.6133525375382636 4.401080672398328
3.381223838514395 4.203708030585394
2.2449788077306105 4.114114725496583
1.9226565128345068 5.232586814816418
1.9498015796750305 5.253848490366181
2.5616849180406858 5.48060128558756
3.3543933440533307 5.338038124650817
2.164928577860488 5.373901514023425
1.7008038483304777 4.720693808733473
2.9254670345111156 5.4698422176325945
3.5741991989638273 4.3701615597522006
1.698908124303406 4.7699173858740345
1.784591404637862 5.060924148575036
1.7125226976495544 4.692728283141915
1.786400769728551 4.496380131869899
3.413263711991146 4.24136014380322
1.9686484677436744 5.2441079678566425
3.4500957072437672 5.261256914330591
3.4472721141721197 5.262608208018898
